city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
Bike Share Toronto,Velospot CH,0.6199520908367986,0.9288705568549511,0.8114523733867621,CA,CH
Bike Share Toronto,Ecobici Ciudad de Mexico,0.7579388072255624,0.9128010221754137,0.3655845969897532,CA,MX
Bike Share Toronto,Ecobici Buenos Aires,0.7542267174943689,0.8576596833949239,0.529272956097261,CA,AR
Bike Share Toronto,Bike Itaú Rio,0.8010668377427247,0.9518365483897205,0.7768147574313934,CA,BR
Vélib Paris,Vélo'v Lyon,0.7629217401688908,0.8696309997408657,0.9261383967543402,FR,FR
Vélib Paris,VéLÔ Toulouse,0.931891993926111,0.8274625257502828,0.8008234540897319,FR,FR
Vélib Paris,Le VélO Bordeaux,0.8403597566437369,0.9242546960599568,0.831696545026439,FR,FR
Vélib Paris,Le Vélo Marseille,0.864546250418901,0.9115533138745021,0.8770290415701346,FR,FR
Vélib Paris,Santander London,0.9450370165578065,0.8470096442593954,0.5015735671560638,FR,GB
Vélib Paris,Beryl Bournemouth,0.6799888886344734,0.6728562490776511,0.7826234265031095,FR,GB
Vélib Paris,Beryl Manchester,0.8469767392160721,0.7424117594646171,0.8152867858056374,FR,GB
Vélib Paris,Nextbike Berlin,0.7289392786442026,0.7608604784776971,0.831580001736084,FR,DE
Vélib Paris,Swabi Augsburg,0.7518868119674919,0.775975278180022,0.9171787800335874,FR,DE
Vélib Paris,Nextbike Praha,0.6149361106584229,0.7967808389584996,0.8285313330861527,FR,CZ
Vélib Paris,BiciMAD Madrid,0.8872984754861098,0.8301999002894227,0.7270519803817956,FR,ES
Vélib Paris,Bicing Barcelona,0.9268475936526794,0.8641141389912712,0.6376456262239324,FR,ES
Vélib Paris,Valenbisi València,0.900579920047977,0.9378981830981148,0.899159950254281,FR,ES
Vélib Paris,BikeMi Milan,0.9074295025780328,0.9010927822957461,0.679922755791948,FR,IT
Vélib Paris,Villo Bruxelles,0.8993339383489652,0.8988795461673804,0.4677168627268117,FR,BE
Vélib Paris,Velo Antwerpen,0.8346949208794647,0.8396998166887572,0.4159510628129729,FR,BE
Vélib Paris,Metrorower,0.6930516940326333,0.7836390362513885,0.805725391848877,FR,PL
Vélib Paris,Mevo Gdańsk,0.5611742972514786,0.7743680396991,0.8277248500231654,FR,PL
Vélib Paris,Velospot CH,0.5015052416502905,0.7900578934100368,0.8359000666639823,FR,CH
Vélib Paris,Ecobici Ciudad de Mexico,0.9077482667782002,0.9072802689663113,0.359099008839908,FR,MX
Vélib Paris,Ecobici Buenos Aires,0.9086817752557007,0.9648199050350001,0.5198793076125466,FR,AR
Vélib Paris,Bike Itaú Rio,0.6515348718070042,0.7954908448579017,0.7970955846852115,FR,BR
Vélo'v Lyon,VéLÔ Toulouse,0.7816504869556548,0.9370677761766482,0.7489528387329127,FR,FR
Vélo'v Lyon,Le VélO Bordeaux,0.784281359366322,0.8684399030711736,0.7929006929256226,FR,FR
Vélo'v Lyon,Le Vélo Marseille,0.8123345235293774,0.8846851448635966,0.9221022935101099,FR,FR
Vélo'v Lyon,Santander London,0.7889315882864628,0.9292811182648115,0.4719244507020383,FR,GB
Vélo'v Lyon,Beryl Bournemouth,0.8257836891355496,0.7658170256466298,0.8322273533614779,FR,GB
Vélo'v Lyon,Beryl Manchester,0.8211001249568048,0.8466074356926477,0.7632402452802451,FR,GB
Vélo'v Lyon,Nextbike Berlin,0.9011344128033913,0.8653015336122977,0.883547362855725,FR,DE
Vélo'v Lyon,Swabi Augsburg,0.8818030461203535,0.8844757956610417,0.9424094970139323,FR,DE
Vélo'v Lyon,Nextbike Praha,0.7774196895326053,0.9043542057188807,0.858692573320263,FR,CZ
Vélo'v Lyon,BiciMAD Madrid,0.8408094717117065,0.9333872233804754,0.676384827345074,FR,ES
